stt,noidung,dich,stt1,stt2,stt3,stt4,isdapan1,isdapan2,isdapan3,isdapan4,dich1,dich2,dich3,dich4
1,海外市場に進出するために販売部門を(拡充)した。,"Để bước ra thị trường quốc tế, chúng tôi đã mở rộng bộ phận bán hàng", こうじゅ, かくじゅ, こうじゅう, かくじゅう,,,x,,,,(Quảng sung) Nghĩa là mở rộng nhưng mở rộng về mặt quy mô.,
2,近年、科学技術は(著 しい)進歩を見せている 。,"Những năm gần đây, khoa học và kỹ thuật đang cho thấy sự tiến bộ vượt bậc", かやがかしい, かがやかしい, いちじるしい, いちるじしい,,,x,,,,"Rõ ràng, vượt bậc",
3,みなさんの(声援)に力づけられました。,Tôi đã được tiếp thêm sức mạnh nhờ vào những lời cỗ vũ từ mọi người., せいえん, しえん, せ いいん, しいん,x,,,,"(Thanh viện) Tiếng cổ vũ, lời động viên.",,,
4,いつのまにか(傾いて)いました。,Không biết nó nghiêng từ bao giờ, きずついて, かたむいて, かわいて, ういて,,x,,,"傷つく：làm sước, tổn thương",(Khuynh) Nghiên,,
5,ガラスの(破片)が落ちているから、気をつけてください。,"Mảnh vỡ của kính bị rơi xuống, hãy chú ý.", ひがた, はがた, ひへん, はヘん,,,,x,,,,Mảnh vỡ
6,私の故郷は自然が(ゆたか)なところです。,Quê tôi là một  nơi thiên nhiên phong phú, 豐か, 富か, 恵か, 福か,x,,,,(Phong) Phong phú,"(Phú) - cách đọc đúng là とみ : tài sản, của cải",(Huệ trong ân huệ),(Phúc trong hạnh phúc)
7,この店の商品は、買ってから一週間以内なら(へんぴん)できます。,"Sản phẩm ở cửa hàng này, bạn có thể trả lại trong vòng 1 tuần sau khi mua.", 返品, 変品, 逆品, 戻品,x,,,,(Phản phẩm) Trả lại,Biến - Phẩm,Ngược - Phẩm,Lệ - Phẩm
8,道具を(らんぼう)に使ってはいけません。,Không được sử dụng dụng cụ một cách thô bạo, 荒暴, 乱暴, 乱亡, 荒亡,,x,,,Hoang - Bạo,Loạn - Bạo,Loạn - Vong,Hoang - Vong
9,この二人はライバルとして常に(きそって)きた。,Hai người này luôn thi đua với nhau giống như là đối thủ vậy., 争って, 競って, 戦って, 討って,,x,,,"あらそう- tranh, cạnh tranh, ganh đua","cạnh - cạnh tranh, thi đua",たたかう- chiến - chiến tranh,Thảo - thảo luận
10,特に目立った(じゃ くてん)はない。,Không có điểm yếu đặc biệt nào cả., 悪点, 欠点, 低点, 弱点,,,,x,Ác Điểm,Khuyết Điểm - けってん,Đê Điểm,Nhược Điểm
11,この動物は、敵に襲われると、体をボール(　　　)に丸めて身を守る。,, 式, 感, 状, 性,,,x,,"Thức - しき. Thường đi với cách thức, hình thức",Cảm - かん. Thường đi với cảm giác như 安心感,Trạng - じょう. Đi với hình dạng,"Tính - せい . ĐI với tính chất, tính cách"
12,明日のシンポジウムは(　　　)会場で行われるので、ご注意くだ さい。,Vì cuộc họp ngày mai sẽ được tổ chức ở hội trường khác nên mọi người hãy chú ý, 離, 違, 別, 補,,,x,,"(Li) Rời, xa",(Vi) Sai,(Biệt) Khác,"(Bổ) Bổ trợ, ứng viên"
13,あの会社は、(　　　)社長になってから経営方針が変わった。,"Công ty đó, từ khi có ông giám đốc hiện tại thì phương châm kinh doanh đã thay đổi.", 現, 直, 今, 近,x,,,,(Hiện) Hiện tại,"(Trực) Ngay, thẳng",(Kim) Bây giờ,(Cận) Gần
14,最近、物価が(　　　)している。,Vật giá gần đây đang tăng, 増加, 上達, 増大, 上昇,,,,x,じょうか：Tăng thêm,"じょうたつ：Phát triển, tiến bộ","ぞうだい：Nâng cao, tăng thêm",じょうしょう : Sự tăng lên cao; sự tiến lên
15,ちょうどいい（ )で警官が通りかかったので、助かった。,"Cảnh sát đi ngang qua đúng lúc, thật may quá.", タイマー, アクシデント, タイミング, アクション,,,x,,Thời gian,Sự cố,"Khoảnh khác, lúc",Hành 
16,遠慮はいらないので、いつでも （ )声をかけてください。,"Đừng ngại, có gì thì hãy cứ bảo tôi nhé.", 無事に, 気軽に, 率直に, 器用に,,x,,,「VÔ SỰ」ぶじに：bình an vô sự,「KHÍ KHINH」きがるくに：đừng ngại ,"「SUẤT TRỰC」そっちょく: Thật thà, thẳng thắn",「KHÍ DỤNG」きよう：khéo léo 
17,Ｅメールに（　　　)されたファイルが開けない。,File đính kèm ở email không mở được., 輸送, 付属, 郵送, 添付,,,,x,"ゆそう：vận chuyển, chuyên chở",ふぞく：trực thuộc,ゆうそう：gửi bằng bưu điện,てんぷ：đính kèm
18,そんなに人のことを(　　　)見るものではありませんよ。,Đừng có nhìn chằm chằm vào người khác như vậy., じろじろ, たまたま, さっさと, うっとり,x,,,,nhìn chằm chằm,thỉnh thoảng / ngẫu nhiên,mau lẹ,lơ đễnh 
19,その選手は体力（　　　）まで走り続けた。,Tuyển thủ đó đã tiếp tục chạy cho đến giới hạn của thể lực bản thân., 制限, 限界, 境界, 境目,,x,,,せいげん：hạn chế,げんかい：giới hạn ,"きょうかい：biên giới, ranh giới",さかいめ：đường ranh giới
20,彼はその出来事がきっかけで、医者になる決意を(　　　)。,Anh ấy đã quyết chí trở thành bác sĩ từ sự việc đó., 固めた, まとめた, 仕上げた, 合わせた,x,,,,"かためる→Chắc chắn, cổng cố",纏める→Tổng hợp,しあげる→Hoàn thành,"あわせる→Điều chỉnh, làm cho phù hợp"
21,あの人の冷たい態度には(失望)した。,Tôi đã thấy vọng vì thái độ lạnh lùng của người đó., がっかりした, びっくりした, かっとした, ぞっと した,x,,,,Thất vọng (失望：しつぼう,Bất ngờ,"Giận, sôi máu","Run rẩy, sợ, lạnh sống lưng"
22,すぐに仕事に(とりかかります)。,Bắt tay vào công việc ngay lập tức, 仕事を探します, 仕事を始めます, 仕事を教えます, 仕 事を頼みます,,x,,,しごとをさがす→Tìm việc,しごとをはじめる→Bắt đầu công việc,しごとをおしえる→Chỉ việc,しごとをたのみます→Nhờ việc
23,手書きの文字には書いた人の(人柄)が出る。,Trong chữ viết tay sẽ thể hiện tính cách của người viết, 格好, 体調, 気分, 性格,,,,x,(Cách hảo)かっこう→ Ngoại hình,"(Thể điều)たいちょう→ Sức khỏe, tình trạng sức khỏe","(Khí phân)きぶん→ Tâm tình, tinh thần",(Tính cách)せいかく→ Tính cách＝人柄(ひとがら)
24,スピーチは(案の定)うまくできなかった。,Bài thuyết trình đã không thành công đúng như dự kiến, あまり, あいかわらず, やっぱり, ぜんぜん,,,x,,Không ... Lắm,"Không thay đổi, vẫn thế",Quả nhiên là = 案の定(あんおじょう ： Đúng như dự đoán),
25,ごみを(くるんで)捨てた。,Tôi đã bọc rác để vứt, 縛って, 集めて, 分けて, 包んで,,,,x,"しばる→Buộc, trói",あつめる→Gom,"分ける→Chia, phân chia",つつむ→Bọc = くるむ
26,引用,(Dẫn dụng) いにょう：Trích dẫn, プレゼンがうまい先鞏のやり方を引用する。, 大きな川から水を引用する。, レポートで、新聞記事を引用する。, ほかの人のお金を引用してはいけない。,,,x,,Tôi đã tham khảo cách làm từ người sempai giỏi thuyết trình. -> Nên dùng 参考（さんこう）,Nước chảy từ sông lớn -> Nên dùng 引く（ひく）,Tôi đã trích dẫn bài báo trong báo cáo.,Không được dùng (ăn trộm / lấy ) tiền của người khác -> Nên dùng 使用（しよう）・盗む（ぬすむ）・取る（とる）
27,ほっと,"Cảm thấy nhẹ lòng, cảm thấy yên tâm", ほっと気づいたら、ポケットの中のかぎがなかった。, 会議中に、ほっとしていたら、上司に注意された。, 好きな人に話しかけられて、ほっと顔が赤くなった。, なくしたと思った大事な本を見つかって、ほっとした。,,,,x,,,,Tôi đã yên tâm khi tìm thấy cuốn sách rất quan trọng mà tôi nghĩ là đã mất rồi.
28,展開,てんかい：Triển khai, 高橋教授は、この島で生物の展開の歴史を調べている。, この漫画は、ストーリーの展開が面白い。, 好きなことをしているときは、時間の展開が早い。, 池田選手はとても強く、5年連続で決勝戦の展開を決めている。,,x,,,,Cách triển khai cốt truyện của bộ phim này thú vị.,,
29,妥当,だとう：Thoả đáng, 品質に比べて値段が高いと言う人もいるが、私は妥当な金額だと思う。, 風邪気味だったので、今日の会議が中止になったのは、私 には妥当だった。, 旅行の日は雨の予報だっ たが、きれいに晴れて、妥当な天気になった。, こ の曲は、歌詞が今の私の気持ちに妥当なので、最近よく聞いている。,x,,,,"Có người cho rằng giá cao hơn so với chất lượng, nhưng tôi nghĩ như vậy là thỏa đáng.",,,
30,かばう,"庇う：Bao che , gánh team", この団体は、海岸の清掃など、環境をかばう活動をしている。, この鳥は法律でかばわれていて、捕まえたり飼ったりすることは 禁止されている��, 弟が両親にしかられてい たので、「すごく反省してたよ」と言って、弟をかばった。, 開発した新技術をかばうため、関連する情報を厳重に管理している。,,,x,,,," Vì em trai bị bộ mẹ mắng nên tôi đã nói dối rằng ""nó đã phản tỉnh rồi"" để bao chê cho em. 反省 (はんせい) : Phản tỉnh, hồi tỉnh",
